site__ YYMMMDD yyyy.yyyy _MJD_______ time____ __east(m)_______ _north(m)________ ____up(m)_______ reflat(deg)_____ reflon(deg)_____ Height(m)_______
950203 96JUN12 1996.4453 50246.47979 12:00:00 -3.9359668516E+06 3.1865311920E+06 3.8645627967E+06 3.7533693279E+01 1.4100661132E+02 5.3511294454E+01
950203 96JUN13 1996.4480 50247.46800 12:00:00 -3.9359668493E+06 3.1865311922E+06 3.8645627832E+06 3.7533693192E+01 1.4100661130E+02 5.3501752112E+01
950203 96JUN14 1996.4508 50248.49279 12:00:00 -3.9359668524E+06 3.1865311928E+06 3.8645627878E+06 3.7533693209E+01 1.4100661132E+02 5.3506764572E+01
950203 96JUN15 1996.4535 50249.48100 12:00:00 -3.9359668453E+06 3.1865311798E+06 3.8645627811E+06 3.7533693237E+01 1.4100661139E+02 5.3491820098E+01
950203 96JUN16 1996.4562 50250.46919 12:00:00 -3.9359668581E+06 3.1865312029E+06 3.8645627970E+06 3.7533693216E+01 1.4100661127E+02 5.3520922220E+01
950203 96JUN17 1996.4590 50251.49399 12:00:00 -3.9359668555E+06 3.1865312023E+06 3.8645628047E+06 3.7533693284E+01 1.4100661126E+02 5.3523711428E+01
950203 96JUN18 1996.4617 50252.48220 12:00:00 -3.9359668311E+06 3.1865311896E+06 3.8645628120E+06 3.7533693484E+01 1.4100661120E+02 5.3506783319E+01
950203 96JUN19 1996.4644 50253.47039 12:00:00 -3.9359668719E+06 3.1865312091E+06 3.8645628121E+06 3.7533693244E+01 1.4100661132E+02 5.3541720578E+01
950203 96JUN20 1996.4672 50254.49520 12:00:00 -3.9359668567E+06 3.1865312054E+06 3.8645628082E+06 3.7533693293E+01 1.4100661124E+02 5.3528130151E+01
950203 96JUN21 1996.4699 50255.48339 12:00:00 -3.9359668648E+06 3.1865312043E+06 3.8645628156E+06 3.7533693315E+01 1.4100661131E+02 5.3537081840E+01
